keyword,url,title,description,count,desc_lang,title_lang,web_title,web_title_lang,merged_text
accuweather,accuweather.com,"Hanoi, Hanoi, Vietnam Daily Weather | AccuWeather","Know what's coming with AccuWeather's extended daily forecasts for Hanoi, ...",10,en,en,"Local, National, & Global Daily Weather Forecast | AccuWeather",en,"Know what's coming with AccuWeather's extended daily forecasts for Hanoi, .... Local, National, & Global Daily Weather Forecast | AccuWeather"
accuweather,accuweather.com,"Hanoi, Hanoi, Vietnam Today, Tonight & Tomorrow's ... - AccuWeather","Get the forecast for today, tonight & tomorrow's weather for Hanoi, Hanoi, ...",10,en,en,"Local, National, & Global Daily Weather Forecast | AccuWeather",en,"Get the forecast for today, tonight & tomorrow's weather for Hanoi, Hanoi, .... Local, National, & Global Daily Weather Forecast | AccuWeather"
accuweather,accuweather.com,"Thời tiết hàng ngày ở Ha Hoi, Hà Nội, Việt Nam | AccuWeather","... with AccuWeather's extended daily forecasts for Ha Hoi, Hà Nội, Việt Nam.",10,en,vi,"Local, National, & Global Daily Weather Forecast | AccuWeather",en,"... with AccuWeather's extended daily forecasts for Ha Hoi, Hà Nội, Việt Nam.. Local, National, & Global Daily Weather Forecast | AccuWeather"
accuweather,accuweather.com,"Hanoi, Hanoi, Vietnam Hourly Weather | AccuWeather","Get the Hanoi, Hanoi, Vietnam local hourly forecast including temperature, ...",10,en,en,"Local, National, & Global Daily Weather Forecast | AccuWeather",en,"Get the Hanoi, Hanoi, Vietnam local hourly forecast including temperature, .... Local, National, & Global Daily Weather Forecast | AccuWeather"
accuweather,accuweather.com,"Dự báo thời tiết ba ngày ở Hà Nội, Hà Nội, Việt Nam | AccuWeather","Get the forecast for today, tonight & tomorrow's weather for Hà Nội, Hà Nội, Việt ...
  ·   ·   · ",10,en,vi,"Local, National, & Global Daily Weather Forecast | AccuWeather",en,"Get the forecast for today, tonight & tomorrow's weather for Hà Nội, Hà Nội, Việt ...
  ·   ·   · . Local, National, & Global Daily Weather Forecast | AccuWeather"
accuweather,accuweather.com,"AccuWeather: Local, National, & Global Daily Weather Forecast","AccuWeather has local and international weather forecasts from the most accurate weather forecasting technology featuring up to the minute weather reports.
  ·   ·   · ",10,en,en,"Local, National, & Global Daily Weather Forecast | AccuWeather",en,"AccuWeather has local and international weather forecasts from the most accurate weather forecasting technology featuring up to the minute weather reports.
  ·   ·   · . Local, National, & Global Daily Weather Forecast | AccuWeather"
accuweather,accuweather.com,"Thời tiết hàng giờ ở Hà Nội, Hà Nội, Việt Nam | AccuWeather",Theo giờ · Hàng ngày Tháng. 22 31/8. 84°. RealFeel® 95° Trăng mờ. rain drop  ...,10,vi,vi,"Local, National, & Global Daily Weather Forecast | AccuWeather",en,
accuweather,accuweather.com,"Thời tiết hàng giờ ở Hà Nội, Hà Nội, Việt Nam | AccuWeather","Get the Hà Nội, Hà Nội, Việt Nam local hourly forecast including temperature, ...",10,en,vi,"Local, National, & Global Daily Weather Forecast | AccuWeather",en,"Get the Hà Nội, Hà Nội, Việt Nam local hourly forecast including temperature, .... Local, National, & Global Daily Weather Forecast | AccuWeather"
accuweather,accuweather.com,"Thời tiết hàng ngày ở Hà Nội, Hà Nội, Việt Nam | AccuWeather","Know what's coming with AccuWeather's extended daily forecasts for Hà Nội, ...",10,en,vi,"Local, National, & Global Daily Weather Forecast | AccuWeather",en,"Know what's coming with AccuWeather's extended daily forecasts for Hà Nội, .... Local, National, & Global Daily Weather Forecast | AccuWeather"
accuweather,accuweather.com,Thời tiết hiện tại trên toàn quốc | AccuWeather,"Get the Việt Nam weather forecast. Access hourly, 10 day and 15 day forecasts ...",10,en,vi,"Local, National, & Global Daily Weather Forecast | AccuWeather",en,"Get the Việt Nam weather forecast. Access hourly, 10 day and 15 day forecasts .... Local, National, & Global Daily Weather Forecast | AccuWeather"
vietsov,vietsovpetroresort.com,VIETSOVPETRO RESORT – Nơi trải nghiệm sự tiện nghi và đẳng cấp,Vietsovpetro Resort. Discover a luxury by the sea!,7,en,vi,Login,it,
vietsov,vietsovpetroresort.com,VIETSOVPETRO RESORT – Nơi trải nghiệm sự tiện nghi và đẳng cấp,Vietsovpetro Resort. Discover a luxury by the sea!,7,en,vi,"
	
	Home

",en,Vietsovpetro Resort. Discover a luxury by the sea!. Home
vietsov,vietsov.com.vn,VSPCurrently selected - vietsovpetro,,7,,en,Login,it,
vietsov,vietsov.com.vn,VSPCurrently selected - vietsovpetro,,7,,en,"
	
	Home

",en,
vietsov,vietsov.com.vn,Home - vietsovpetro,Anodes cho xích của hệ thống neo tàu Vietsovpetro-01. Cập nhật lúc 31/08/2020 4:53:23 CH - Bên mời thầu: Bộ máy điều hành. Thời gian bán HSMT từ: ...,7,vi,sk,Login,it,
vietsov,vietsov.com.vn,Home - vietsovpetro,Anodes cho xích của hệ thống neo tàu Vietsovpetro-01. Cập nhật lúc 31/08/2020 4:53:23 CH - Bên mời thầu: Bộ máy điều hành. Thời gian bán HSMT từ: ...,7,vi,sk,"
	
	Home

",en,
vietsov,vietsov.com.vn,Đăng nhập hệ thống/Войдите в систему,Nhập tài khoản và mật khẩu./Введите свой аккаунт и пароль. Nhập tài khoản/ Войдите в свой аккаунт. Nhập tài khoản. Nhập mật khẩu/Введите пароль.,7,vi,vi,Login,it,
